@relation imageAnalyzerDataset-weka.filters.unsupervised.attribute.StringToNominal-Rfirst-last

@attribute numTagsInHtml numeric
@attribute numTagsInHead numeric
@attribute numTagsInMain numeric
@attribute numTagsInBody numeric
@attribute pctImgTags numeric
@attribute totalWidth numeric
@attribute totalHeight numeric
@attribute IMredMean numeric
@attribute IMredStdDev numeric
@attribute IMgreenMean numeric
@attribute IMgreenStdDev numeric
@attribute IMblueMean numeric
@attribute IMblueStdDev numeric
@attribute IMalphaChannel numeric
@attribute IMgamma numeric
@attribute numBoldTags numeric
@attribute averageFontWeight numeric
@attribute mostUsedFont {'\"Poppins\"',serif,Helvetica,'\"HiraginoKakuGothicProW3\"',hero-new,roboto,Inter,Arial,opensans,Roboto,arial,HelveticaNeueLT,sourcesanspro,'\"SFProText\"',OptimisticText,GraphikWeb,Whitney,'\"SourceSansPro\"',SegoeUI,'\"HaasGrotTextRWeb\"','\"Roboto\"','\"TrebuchetMS\"',YahooSansFinance,ProximaNova}
@attribute averageFontSize numeric
@attribute numStyles numeric
@attribute mostUsedStyle {underline,italic}
@attribute pctItalics numeric
@attribute pctUnderline numeric
@attribute imageOverlappingTop numeric
@attribute favicon numeric
@attribute classVal {legit,phish}

@data
2,48,0,3586,0.005224,1455,9915,148.646,76.0785,149.066,74.6665,148.978,76.0243,1,0.454545,1352,437.712692,Roboto,14.516318,3,underline,0,0.000418,0,1,legit
3,82,1776,2208,0.051461,1342,4559,150.907,106.613,157.843,100.023,164.504,93.4358,1,0.454545,198,407.50109,Arial,14.148277,5,italic,0.00109,0,0,1,legit
3,82,292,758,0.011862,1342,3428,158.492,108.621,162.693,103.709,167.931,98.2378,1,0.454545,67,409.608541,Arial,14.352171,7,italic,0.002966,0.001186,0,1,legit
2,9,0,49,0,1366,408,251.465,24.742,251.761,20.8571,252.788,19.7328,1,0.454545,1,404.918033,arial,13.683059,0,?,0,0,0,0,legit
3,41,1757,1993,0.006382,1342,4425,225.871,65.5727,227.346,63.044,228.622,61.2406,1,0.454545,862,526.509573,HelveticaNeueLT,15.622639,7,underline,0,0.001718,0,0,legit
3,94,872,4259,0.062672,1645,5140,208.826,84.1003,225.496,56.9329,217.53,71.9564,1,0.454545,1225,431.665902,Roboto,15.135758,44,underline,0,0.005048,0,0,legit
3,68,25,745,0.040441,1342,2804,171.883,98.1041,181.784,70.2103,153.52,100.922,1,0.454545,215,480.030257,sourcesanspro,17.456884,64,underline,0.009077,0.039334,0,1,legit
3,10,24,46,0.016949,1342,1057,160.269,99.6576,159.839,100.167,161.215,99.8323,1,0.454545,5,408.474576,Roboto,16.915254,0,?,0,0,0,1,legit
3,41,173,549,0.021922,1342,6285,147.722,101.094,160.222,95.0403,181.627,90.0943,1,0.454545,39,413.153457,'\"SFProText\"',15.791455,0,?,0,0,0,1,legit
2,100,0,824,0.047465,1342,5028,211.772,80.0067,217.668,63.1741,226.062,58.4019,1,0.454545,12,402.169197,OptimisticText,12.071584,8,underline,0.000542,0.003796,0,0,legit
3,70,537,979,0.023764,1342,4726,104.477,52.4893,151.238,39.8492,176.224,80.1048,1,0.454545,64,410.047847,Roboto,17.15311,0,?,0,0,0,0,legit
3,72,514,1100,0.026383,1342,5299,240.706,43.7603,241.171,41.7221,243.968,38.6685,1,0.454545,170,417.561807,Roboto,14.933504,0,?,0,0,0,0,legit
3,27,0,153,0.043716,1342,621,249.635,28.7901,250.176,25.3659,250.924,23.1343,1,0.454545,21,414.835165,Roboto,15.882784,0,?,0,0,0,1,legit
3,72,627,1353,0.035714,1342,9586,222.782,77.7616,228.079,63.5037,236.22,54.159,1,0.454545,163,433.310249,GraphikWeb,14.432576,0,?,0,0,0,1,legit
3,40,0,208,0.039841,1342,4519,202.649,84.5962,204.893,80.7411,223.441,66.647,1,0.454545,28,420.4,Whitney,16.992,0,?,0,0,0,1,legit
3,41,0,254,0.063758,1342,5407,248.715,25.7649,249.331,22.6986,247.726,30.5483,1,0.454545,58,420.469799,'\"SourceSansPro\"',18.475391,5,underline,0,0.008389,0,1,legit
3,36,364,535,0.012195,1342,2200,198.265,85.155,204.455,74.0304,212.726,62.3382,1,0.454545,121,442.160279,SegoeUI,15.912892,0,?,0,0,0,0,legit
3,44,0,2135,0.02429,1342,3002,232.032,57.0768,231.622,57.4835,236.093,53.9533,1,0.454545,630,431.988873,'\"HaasGrotTextRWeb\"',13.806985,2,underline,0,0.000464,0,1,legit
3,473,0,25,0.001996,1366,513,21.272,38.0229,25.1845,44.199,34.2433,61.8156,1,0.454545,0,400,'\"Roboto\"',15.980716,0,?,0,0,0,1,legit
3,6,0,14,0,1342,46,235.589,18.2685,236.005,14.5146,236.26,12.0185,1,0.454545,1,413.043478,serif,15.652174,8,italic,0.173913,0,0,0,legit
2,19,0,106,0.007813,1342,602,9.13845,28.9315,57.9595,23.7033,151.687,25.1435,1,0.454545,27,462.204724,'\"TrebuchetMS\"',12.853543,0,?,0,0,0,0,legit
3,28,0,108,0.007194,1342,1088,236.207,59.8781,239.183,49.3314,244.938,34.2551,1,0.454545,31,465.467626,arial,15.841727,2,underline,0,0.007194,0,1,legit
2,95,0,2373,0.023472,1366,5213,143.554,36.5813,141.885,39.0516,147.064,38.1258,1,0.454545,539,444.330519,YahooSansFinance,13.298754,4,underline,0,0.000804,0,1,legit
3,115,0,638,0,1342,1,21,0,25,0,25,0,1,0.454545,13,403.571429,ProximaNova,15.632275,2,italic,0.001323,0,0,1,legit
